Transazione;Bar;Importo
1;32650198347;10
2;32650198347;20
3;32650198347;25
4;32650198347;10
5;32650198347;5
6;32650198347;15
7;32650198347;30
1;49781624053;50
2;49781624053;200
3;49781624053;20
4;49781624053;10
5;49781624053;15
6;49781624053;25
7;49781624053;10
8;49781624053;5
1;71249560382;5
2;71249560382;10
3;71249560382;20
4;71249560382;40
5;71249560382;20
6;71249560382;30
7;71249560382;5
8;71249560382;10
1;85920475612;70
2;85920475612;45
3;85920475612;20
4;85920475612;35
5;85920475612;15
