Id;Bar;Utente;Data;Importo
8;32650198347;valentina.monti20@email.it;2023-06-04 10:00:00;2.5
9;32650198347;matteo.monti117@email.it;2023-06-04 10:00:00;0.6
10;32650198347;marco.costa135@email.it;2023-06-04 10:00:00;1.2
11;32650198347;marco.costa135@email.it;2023-06-04 10:00:00;10
12;32650198347;luca.conti67@email.it;2023-06-04 10:00:00;2.5
13;32650198347;alessandro.russo7@email.it;2023-06-04 10:00:00;1.2
14;32650198347;carlo.bianchi45@email.it;2023-06-04 10:00:00;0.5
15;32650198347;marco.costa135@email.it;2023-06-04 10:00:00;1
9;49781624053;andrea.galli13@email.it;2023-06-04 10:00:00;2
10;49781624053;chiara.rizzo20@email.it;2023-06-04 10:00:00;2
11;49781624053;sara.santoro144@email.it;2023-06-04 10:00:00;3
12;49781624053;andrea.galli13@email.it;2023-06-04 10:00:00;1
13;49781624053;lorenzo.bianchi77@email.it;2023-06-04 10:00:00;2.20
14;49781624053;luca.conti53@email.it;2023-06-04 10:00:00;2
15;49781624053;andrea.galli13@email.it;2023-06-04 10:00:00;4
16;49781624053;elena.romano140@email.it;2023-06-04 10:00:00;5
17;49781624053;luca.conti53@email.it;2023-06-04 10:00:00;1.1
18;49781624053;andrea.galli13@email.it;2023-06-04 10:00:00;2
9;71249560382;chiara.russo96@email.it;2023-06-04 10:00:00;1.5
10;71249560382;matteo.marchetti55@email.it;2023-06-04 10:00:00;3
11;71249560382;francesca.rossi86@email.it;2023-06-04 10:00:00;3
12;71249560382;matteo.marchetti55@email.it;2023-06-04 10:00:00;4
13;71249560382;luca.verdi13@email.it;2023-06-04 10:00:00;6
14;71249560382;luca.verdi13@email.it;2023-06-04 10:00:00;6
15;71249560382;claudia.parisi48@email.it;2023-06-04 10:00:00;5
16;71249560382;matteo.monti89@email.it;2023-06-04 10:00:00;1.5
17;71249560382;marco.costa79@email.it;2023-06-04 10:00:00;2
6;85920475612;luca.conti81@email.it;2023-06-04 10:00:00;4
7;85920475612;giulia.esposito18@email.it;2023-06-04 10:00:00;3
8;85920475612;francesca.rossi44@email.it;2023-06-04 10:00:00;12
9;85920475612;luigi.rossi19@email.it;2023-06-04 10:00:00;6
10;85920475612;francesca.rossi44@email.it;2023-06-04 10:00:00;3
11;85920475612;carlo.bianchi101@email.it;2023-06-04 10:00:00;1
12;85920475612;giulia.esposito18@email.it;2023-06-04 10:00:00;3.3
Transazione;Bar;Prodotto;Quantita;
8;32650198347;1;2,00;
9;32650198347;3;1,00;
10;32650198347;3;2,00;
11;32650198347;1;4,00;
12;32650198347;2;5,00;
13;32650198347;3;2,00;
14;32650198347;2;1,00;
15;32650198347;2;2,00;
9;49781624053;1;2,00;
10;49781624053;3;2,00;
11;49781624053;3;3,00;
12;49781624053;1;1,00;
13;49781624053;2;2,00;
14;49781624053;3;2,00;
15;49781624053;3;4,00;
16;49781624053;3;5,00;
17;49781624053;2;1,00;
18;49781624053;1;2,00;
9;71249560382;1;1,00;
10;71249560382;3;2,00;
11;71249560382;2;3,00;
12;71249560382;4;2,00;
13;71249560382;4;3,00;
14;71249560382;1;4,00;
15;71249560382;2;5,00;
16;71249560382;1;1,00;
17;71249560382;2;2,00;
6;85920475612;1;2,00;
7;85920475612;3;3,00;
8;85920475612;5;6,00;
9;85920475612;5;3,00;
10;85920475612;2;2,00;
11;85920475612;3;1,00;
12;85920475612;4;3,00;
